,precision,recall,f1-score,support
favela,0.8999151823579304,0.8393987341772152,0.8686041751944331,1264.0
not-favela,0.9305270362765229,0.9584067677123722,0.9442611564507727,2837.0
accuracy,0.9217264081931237,0.9217264081931237,0.9217264081931237,0.9217264081931237
macro avg,0.9152211093172267,0.8989027509447938,0.906432665822603,4101.0
weighted avg,0.9210919269487734,0.9217264081931237,0.9209423502308233,4101.0
