,precision,recall,f1-score,support
favela,0.9799504950495049,0.9833581718827621,0.981651376146789,4026.0
not-favela,0.9788643533123028,0.9745603015075377,0.9767075857727415,3184.0
accuracy,0.9794729542302358,0.9794729542302358,0.9794729542302358,0.9794729542302358
macro avg,0.9794074241809039,0.9789592366951498,0.9791794809597653,7210.0
weighted avg,0.9794708452171539,0.9794729542302358,0.9794681544337561,7210.0
