,precision,recall,f1-score,support
favela,0.8226600985221675,0.7245119305856833,0.7704728950403691,1383.0
not-favela,0.8935456831517183,0.9367311072056239,0.9146289146289146,3414.0
accuracy,0.8755472170106317,0.8755472170106317,0.8755472170106317,0.8755472170106317
macro avg,0.8581028908369429,0.8306215188956536,0.8425509048346418,4797.0
weighted avg,0.8731090011540805,0.8755472170106317,0.8730679859045122,4797.0
