,precision,recall,f1-score,support
favela,0.9052287581699346,0.9453924914675768,0.9248747913188647,293.0
not-favela,0.8222222222222222,0.7184466019417476,0.7668393782383419,103.0
accuracy,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636364
macro avg,0.8637254901960785,0.8319195467046622,0.8458570847786033,396.0
weighted avg,0.8836386743249488,0.8863636363636364,0.8837696207448905,396.0
