,precision,recall,f1-score,support
favela,0.9004149377593361,0.8543307086614174,0.8767676767676768,254.0
not-favela,0.9473684210526315,0.9652173913043478,0.9562096195262024,690.0
accuracy,0.9353813559322034,0.9353813559322034,0.9353813559322034,0.9353813559322034
macro avg,0.9238916794059838,0.9097740499828826,0.9164886481469396,944.0
weighted avg,0.9347347507597321,0.9353813559322034,0.9348343510297347,944.0
