,precision,recall,f1-score,support
favela,0.8060109289617486,0.812299219825608,0.8091428571428572,2179.0
not-favela,0.8397335423197492,0.8341767224601012,0.836945909002148,2569.0
accuracy,0.8241364785172705,0.8241364785172705,0.8241364785172705,0.8241364785172705
macro avg,0.822872235640749,0.8232379711428546,0.8230443830725026,4748.0
weighted avg,0.8242572208144663,0.8241364785172705,0.8241862523042973,4748.0
