,precision,recall,f1-score,support
favela,0.9409282700421941,0.8643410852713178,0.901010101010101,258.0
not-favela,0.9464831804281345,0.9778830963665087,0.9619269619269619,633.0
accuracy,0.9450056116722784,0.9450056116722784,0.9450056116722784,0.9450056116722784
macro avg,0.9437057252351644,0.9211120908189132,0.9314685314685315,891.0
weighted avg,0.9448746878584683,0.9450056116722784,0.9442877362069281,891.0
